Name,RA_deg,Dec_deg,logMbh,source,theta_dpole,theta_apole
NGC4151,182.63572,39.4058,7.54,Thomas2016,78.1008937584019,101.8991062415981
3C120,68.29623,5.35434,7.73,Thomas2016,121.99042711309775,58.00957288690225
3C390.3,280.53746,79.77142,8.62,Thomas2016,126.30909465037672,53.69090534962328
MCG-02-36-002,210.42444,-11.60699,9.57,Thomas2016,29.539241981936573,150.46075801806342
IC 4296,204.16272,-33.96592,9.11,Thomas2016,8.19737656770677,171.80262343229322
Ark120,79.04748,-0.1499,8.05,Thomas2016,110.29851898522294,69.70148101477706
Arp151,171.40063,54.38259,6.65,Thomas2016,94.46717187631472,85.53282812368528
NAME Circinus Galaxy,213.29127,-65.33902,6.06,Thomas2016,29.455996096891447,150.54400390310855
NAME Cygnus A,299.86815,40.73392,9.41,Thomas2016,123.46760581788934,56.532394182110664
ESO558-009,106.08751,-21.58871,7.22,Thomas2016,76.31170968174811,103.68829031825189
Fairall9,20.94062,-58.80574,8.27,Thomas2016,83.24371083188588,96.75628916811412
Hen 2-10,129.06329,-26.40935,0.0,Thomas2016,56.0397861934972,123.9602138065028
IC0342,56.70214,68.09611,6.41,Thomas2016,142.17271603904678,37.827283960953224
IC1459,344.2942,-36.46222,9.39,Thomas2016,100.38699754487452,79.61300245512548
IC1481,349.85458,5.90621,7.15,Thomas2016,140.6157225213807,39.38427747861931
IC2560,154.07777,-33.56385,7.64,Thomas2016,33.42307988934652,146.57692011065348
IC3639,190.22032,-36.75585,7.01,Thomas2016,4.129991560562538,175.87000843943747
2MASX J04370366+2456067,69.26533,24.93525,6.45,Thomas2016,132.7827478885238,47.2172521114762
Mrk0050,185.85059,2.679,7.4,Thomas2016,41.434719545250445,138.56528045474954
Mrk0079,115.63699,49.80973,7.58,Thomas2016,112.11784178558891,67.88215821441109
Mrk0202,184.47901,58.6599,6.11,Thomas2016,96.90962740557741,83.09037259442259
Mrk0509,311.0407,-10.72346,8.03,Thomas2016,102.92696710860893,77.07303289139107
Mrk0590,33.63991,-0.76674,7.55,Thomas2016,137.8262527893309,42.17374721066909
Mrk0817,219.09222,58.79415,7.57,Thomas2016,98.64940030726122,81.35059969273878
Mrk1216,127.19634,-6.94018,9.3,Thomas2016,68.44782593432888,111.55217406567112
Mrk1310,180.3098,-3.67805,6.19,Thomas2016,36.78057823177956,143.21942176822046
NGC0193,9.82741,3.33135,8.4,Thomas2016,145.1447378893122,34.85526211068779
NGC0205,10.09198,41.6853,0.0,Thomas2016,174.48355973223514,5.516440267764864
NGC0221,10.67427,40.86517,6.39,Thomas2016,175.35184939629676,4.648150603703243
NGC0289,13.17652,-31.20583,7.38,Thomas2016,110.93394088614114,69.06605911385886
NGC0307,14.13581,-1.77194,8.6,Thomas2016,140.3815158061652,39.6184841938348
NGC0315,14.45368,30.35245,8.92,Thomas2016,172.49123226670085,7.508767733299152
NGC0383,16.85399,32.41256,8.76,Thomas2016,174.41948387113993,5.580516128860069
NGC0404,17.36292,35.71806,5.65,Thomas2016,177.28237089103536,2.717629108964644
NGC0428,18.23212,0.98158,4.48,Thomas2016,143.0448151189901,36.9551848810099
NGC0524,21.19878,9.53879,8.94,Thomas2016,151.1994581260914,28.8005418739086
NGC0541,21.4346,-1.3795,8.59,Thomas2016,140.3700211459894,39.6299788540106
NGC0598,23.4621,30.65994,0.0,Thomas2016,170.12247126227416,9.87752873772584
NGC0613,23.57598,-29.41849,7.6,Thomas2016,112.29635511535369,67.70364488464631
NGC0741,29.08733,5.62882,8.67,Thomas2016,145.41471409253413,34.585285907465874
NGC0788,30.27687,-6.81583,7.92,Thomas2016,133.19965546712098,46.80034453287902
NGC0821,32.08812,10.99487,8.22,Thomas2016,149.20160294181827,30.798397058181735
NGC1023,40.10005,39.06325,7.62,Thomas2016,160.54662500653885,19.453374993461154
NGC1042,40.0999,-8.43365,4.4,Thomas2016,128.23310333557387,51.76689666442613
NGC1052,40.26999,-8.25576,8.24,Thomas2016,128.32274817695003,51.67725182304997
NGC1097,41.57941,-30.27491,8.14,Thomas2016,107.57776287495483,72.42223712504517
NGC1194,45.95458,-1.10361,7.85,Thomas2016,131.8370590859549,48.162940914045095
NGC1271,49.79696,41.35336,9.53,Thomas2016,153.31238191464752,26.687618085352483
NGC1275,49.95067,41.5117,8.98,Thomas2016,153.20790846385628,26.792091536143715
NGC1277,49.96453,41.57341,9.67,Thomas2016,153.20147018719035,26.798529812809647
NGC1316,50.67412,-37.2082,8.18,Thomas2016,98.13825483353774,81.86174516646226
NGC1320,51.20294,-3.0423,6.74,Thomas2016,127.28250492071862,52.71749507928138
NGC1332,51.57217,-21.33537,8.83,Thomas2016,111.6808688304411,68.3191311695589
NGC1358,53.41545,-5.08957,8.37,Thomas2016,124.3295835472968,55.67041645270319
NGC1374,53.81916,-35.22625,8.76,Thomas2016,98.65664062942656,81.34335937057344
NGC1386,54.19266,-35.99927,6.07,Thomas2016,97.83533294021522,82.16466705978478
