name,source,ra,dec,l,b,theta_D,d_mpc,R_Thales
ES382-045,CF3,200.06166666666667,-36.044444444444444,309.43375007802945,26.463338933741824,4.253365545051523,13.06,13.096068796417953
2MRS_195.16+2.50,2MRS,195.16307,2.50143,308.4410949342243,65.27456908790491,40.33510825999123,13.164383561643836,17.269932421584897
NGC004781,CF3,193.59916666666666,-10.536944444444444,304.1219005141834,52.32796915384778,27.336086092319736,13.18,14.83685889911154
ES576-032,CF3,199.96666666666667,-22.27861111111111,311.5422546038874,40.11736809883094,16.079074596978362,13.24,13.779030575747289
2MRS_190.73+3.68,2MRS,190.7347,3.67657,297.61627063862755,66.4605607756278,41.71963556699176,13.287671232876713,17.802103905351974
NGC_4527,CF3,188.53375,2.6533333333333333,292.59279952969365,65.17715947603938,40.96001346932884,13.37,17.704687090800814
2MRS_191.94+4.34,2MRS,191.94357,4.33608,300.5754514260221,67.19106575748228,42.28031584304581,13.506849315068493,18.255896964876488
NGC5364,CF3,209.05,5.014444444444444,340.70560567315664,63.034025047621995,44.733143067118654,13.61,19.158423730480916
LEDA,CF2,188.53375,2.6533333333333333,292.59279952969365,65.17715947603938,40.96001346932884,13.61,18.0224974798653
AGC029403,CF3,198.87958333333333,-23.983333333333334,309.9706795040997,38.559082369345575,14.195790191840677,13.8,14.234679111521501
2MRS_188.07-7.56,2MRS,188.07269,-7.56346,294.639776401345,54.99971993199917,30.957103882076147,13.917808219178083,16.229683487521523
NGC04632,CF3,190.63416666666666,-0.0825,298.07458222818127,62.7052706170324,37.98843469445151,13.93,17.674636724845254
N4684,CF3,191.82291666666666,-2.7275,300.8527808309596,60.1275106740517,35.24503786415544,13.93,17.05662344238538
2MRS_187.77-8.05,2MRS,187.76857,-8.05392,294.2352386369122,54.47361394868118,30.53546816471729,13.986301369863014,16.23831518478938
N4546,CF3,188.8729166666667,-3.7930555555555556,295.22726199252514,58.83994107960051,34.53385029064248,14.0,16.994593275100332
2MRS_190.00-11.62,2MRS,189.99789,-11.62307,298.460979877063,51.14928708722279,26.62608374351143,14.027397260273972,15.691473241159422
ES434-034,CF3,146.37416666666667,-30.341944444444444,261.95435264268906,17.36822639257621,40.68573409569532,14.06,18.541555609585455
2MRS_189.45+5.37,2MRS,189.45166,5.36844,293.84229386829287,67.99929608299851,43.5357623731934,14.178082191780822,19.557470472926344
