glon,glat,dist_mpc,theta_D
293.21,-37.56,230.4,63.53426591027182
317.97,17.83,225.1,14.030035122229773
264.52,47.78,224.9,39.0843303572074
331.23,-70.66,224.7,97.44253997825184
115.46,-72.2,223.8,132.50151363390714
239.18,24.74,222.0,59.06793185304095
305.41,-68.89,219.4,93.89047993874745
303.64,33.91,217.6,8.988042010895608
224.61,-34.25,216.2,96.4761025369712
244.56,41.53,208.2,52.05434502521289
327.03,-12.44,207.8,43.166206764983755
307.0,43.54,205.9,18.611981211042448
347.81,-59.83,204.5,91.78928285652708
307.9,41.96,204.4,17.128709404559235
287.46,24.19,203.8,15.958122019452524
256.53,-25.34,201.6,68.76453675426782
307.28,46.17,196.6,21.248691517762634
328.09,-18.31,196.4,48.79732367616924
266.14,-47.18,194.3,80.23008629689083
209.07,-68.33,194.1,115.29793974782558
201.24,68.88,188.5,71.54526977408764
300.19,55.35,183.0,30.555153087583033
285.74,-27.32,180.8,55.51544378573701
251.81,-38.13,179.8,80.43268381891743
312.35,-21.87,179.5,47.410195672418595
4.25,-41.03,178.8,85.86335743096001
305.5,43.46,177.8,18.46453199450316
225.82,19.36,175.2,72.50548625951937
152.15,-77.41,175.2,126.03219498449388
255.79,-18.06,174.9,64.4122460172444
343.0,-40.31,168.9,74.26427615237309
291.45,43.53,168.4,21.58575979154733
228.79,19.98,161.1,69.66955613776378
227.39,21.64,157.9,70.32974571631875
224.82,-33.57,155.4,96.02119495416959
356.73,46.54,154.9,46.14189678372968
218.4,-34.15,153.6,101.1138865214737
346.85,-53.45,148.5,86.41465981992336
242.54,13.3,145.3,59.666564065237
313.7,-59.28,143.9,84.5866676420952
64.33,-73.82,143.9,121.9775299264498
25.09,-32.84,142.5,95.63173424279813
164.72,-58.64,141.4,136.3579608077579
278.04,-28.18,137.7,59.17062269665414
254.46,42.83,137.3,44.787385128688825
279.97,-30.11,135.3,60.10757549447896
206.26,-35.46,134.4,110.93732712484653
151.94,63.54,134.3,88.9489311144407
182.66,-48.22,133.0,129.65577630474897
197.65,-66.95,132.8,119.64978313401276
317.1,-25.19,125.5,51.53595601206209
189.22,-56.2,124.3,124.7825471865313
85.87,35.43,123.4,109.13875364219766
80.38,23.19,123.3,115.24897015212387
296.93,10.54,121.7,16.362464450389446
327.18,-13.12,121.1,43.829347914429455
225.94,-19.76,119.3,88.91172305968298
321.07,-40.55,115.8,67.2326909126642
295.48,-70.5,114.2,95.73987538891438
118.13,63.35,112.7,91.48270650463508
191.14,44.46,103.8,88.03170611171477
140.13,-62.6,103.5,141.06249549488265
274.58,49.33,96.6,33.913780140607265
104.99,-33.04,92.3,160.78788990380187
221.98,-26.52,83.8,95.17252517140079
270.88,-34.7,82.8,67.89736647278461
246.95,18.19,79.7,54.01593708620562
