id,ra,dec
"DDO 154",193.52186666666663,27.149630555555554
"DDO 161",195.81973333333335,-17.423030555555556
"DDO 168",198.616656,45.919762
"DDO 170",198.974077,25.436148000000003
"DDO  64",147.594869,31.488277
"ESO 116-12",48.269775,-57.35724722222223
"ESO 444-84",204.33328999999998,-28.045
"ESO 563-21",131.82075416666666,-20.035661111111114
"ESO  79-14",15.71445201397,-65.60990341499
"IC 2574",157.09839534642,68.41206667021
"IC 4202",197.13162147735,24.70079377991
"LEDA   51017",214.257148,43.503756
"NGC   100",6.011820833333334,16.48638888888889
"NGC  1003",39.820387499999995,40.87229166666666
"NGC  1090",41.64139959041,-0.24711881935000002
"NGC  1705",73.55610895561,-53.36096433123
"NGC  2366",112.2185538,69.2107941
"NGC    24",2.485591666666666,-24.963130555555555
"NGC  2403",114.21390893095,65.6026807849
"NGC   247",11.785641666666667,-20.760400000000004
"NGC  2683",133.17211034566,33.42183268931
"NGC  2841",140.51115779654,50.97659363413
"NGC   289",13.176520833333335,-31.205830555555554
"NGC  2903",143.04212916666668,21.500830555555552
"NGC  2915",141.54805000000002,-76.62631944444443
"NGC  2955",145.31923781602,35.88226306684
"NGC  2976",146.81440833333332,67.91638055555556
"NGC  2998",147.18179381465,44.08144917435
"NGC   300",13.722694015959998,-37.68421344511
"NGC  3109",150.77865416666668,-26.159572222222227
"NGC  3198",154.979125,45.54968888888889
"NGC  3521",166.45236707974,-0.03590141015
"NGC  3726",173.33806981069,47.02924450623
"NGC  3741",174.023974,45.284155
"NGC  3769",174.43363659842,47.89299522471
"NGC  3877",176.532425,47.4945
"NGC  3893",177.15919583333334,48.7107888888889
"NGC  3917",177.6893674424,51.82442207641
"NGC  3949",178.42387960079,47.85872262541001
"NGC  3953",178.45420274273,52.32679872092001
"NGC  3972",178.93787699999996,55.320735
"NGC  3992",179.39984644985,53.37472391176001
"NGC  4010",179.65829583333334,47.26131111111112
"NGC  4013",179.63090416666668,43.94702222222221
"NGC  4051",180.79004222387996,44.53130072258
"NGC  4068",181.013605,52.590569
"NGC  4085",181.34471018458,50.35294669817
"NGC  4088",181.39259587247997,50.53918444941
"NGC  4100",181.53584166666664,49.58231111111112
"NGC  4138",182.37417142376998,43.68524003889
"NGC  4157",182.76818749999995,50.484680555555556
"NGC  4183",183.32025,43.69826944444444
"NGC  4214",183.91322499999998,36.32688888888889
"NGC  4217",183.96208333333334,47.09178888888889
"NGC  4389",186.39624166666667,45.68466944444444
"NGC  4559",188.99016786248998,27.9599609106
"NGC  5005",197.7346333333333,37.05894166666666
"NGC  5033",198.36472916666668,36.593650000000004
"NGC  5055",198.95530912246997,42.02936891003
"NGC  5371",208.91641071525999,40.46177239072
"NGC    55",3.7233416666666663,-39.19662777777777
"NGC  5585",214.95084999999997,56.72905000000001
"NGC  5907",228.9736958333333,56.32885
"NGC  5985",234.90439405924002,59.33200469074
"NGC  6015",237.85515690996,62.31006475510999
"NGC  6195",249.13569026350999,39.02789207985
"NGC  6503",267.36008658002993,70.14433448116
"NGC  6674",279.6412041666666,25.375108333333333
"NGC  6789",289.1715375,63.973305555555555
