RAJ2000,DEJ2000,z
33.7557,-4.5374,0.8155
34.7733,-4.8967,0.8086
33.9025,-4.9534,0.8284
34.5736,-4.4322,0.7987
36.8855,-5.0927,0.8231
38.1743,-5.0364,0.8114
36.7293,-4.6597,0.8407
36.0996,-5.0576,0.8068
38.3426,-4.3467,0.7882
37.5508,-5.184,0.7923
37.5006,-4.3555,0.8089
38.3383,-5.1831,0.7946
37.4875,-4.4894,0.7862
38.3006,-4.3134,0.8045
37.7595,-4.5128,0.7971
36.2263,-5.2243,0.8389
37.3585,-5.1971,0.8096
33.1529,-4.3627,0.8268
32.9771,-4.7964,0.8143
36.049,-4.3431,0.8269
31.4773,-4.54,0.8269
38.3492,-4.3046,0.8289
32.2119,-4.5012,0.8291
32.7171,-4.913,0.8371
32.8825,-4.3109,0.8432
37.1467,-5.2799,0.845
34.9947,-5.2204,0.8483
37.734,-4.3136,0.8496
35.6456,-4.469,0.8535
38.4312,-4.7956,0.8544
30.959,-5.2754,0.8547
37.1348,-4.7381,0.8578
37.8197,-5.2236,0.8405
34.7413,-4.9867,0.8588
33.1232,-4.7574,0.8646
32.0782,-4.8141,0.8742
31.6059,-4.3724,0.8522
31.7576,-5.1279,0.836
34.1296,-4.5088,0.8592
30.8975,-4.503,0.8361
32.1893,-4.5349,0.8915
33.989,-5.067,0.8446
31.2851,-4.5487,0.8675
33.618,-4.4071,0.8411
31.509,-4.329,0.8873
32.4745,-4.4305,0.8532
30.7499,-4.3137,0.8498
30.7312,-5.1371,0.8667
38.3087,-4.378,0.8675
34.3601,-5.2692,0.8683
37.6363,-5.0981,0.87
34.1159,-4.3241,0.875
33.626,-5.2662,0.8751
35.0765,-4.3244,0.8757
30.5994,-4.4381,0.878
30.8528,-5.2076,0.8806
36.0749,-5.1858,0.8892
35.3159,-5.0195,0.8833
35.7915,-4.5505,0.8764
38.2791,-5.036,0.8931
34.3076,-4.9801,0.8944
31.328,-4.9983,0.896
33.2938,-4.3337,0.8994
37.2608,-5.2559,0.8994
34.8983,-4.2787,0.9004
334.553,1.1434,0.5498
334.3317,1.1786,0.5608
332.3445,2.2182,0.5524
333.6647,1.4755,0.5527
330.3109,1.4206,0.5531
334.0628,2.2115,0.5596
330.3673,1.774,0.5686
332.1927,1.1033,0.5688
333.3963,2.12,0.5725
332.7841,1.4768,0.5587
334.8589,1.4268,0.5741
330.2894,1.5094,0.5915
335.0833,1.5614,0.5936
332.6775,1.7673,0.5985
332.1264,1.7703,0.5846
332.8595,1.0912,0.5875
333.4901,2.0447,0.607
334.3651,1.0508,0.6019
334.5128,1.9445,0.6042
331.8038,2.0131,0.6182
331.2497,1.0523,0.6037
330.7721,1.4377,0.6157
331.0512,2.1558,0.6281
330.2542,1.7864,0.6258
332.0323,1.0663,0.622
334.8098,1.4399,0.6247
333.4463,2.1579,0.6252
333.5599,1.0591,0.6125
334.4585,1.7108,0.637
333.1045,1.7385,0.6162
333.9272,1.0751,0.634
332.3126,1.0754,0.6345
331.4354,1.5158,0.6363
330.8152,1.1534,0.642
332.8245,2.1433,0.6458
333.7578,1.9007,0.6505
330.6889,1.9732,0.6492
330.5763,1.0158,0.652
332.1786,1.0162,0.6524
334.56,1.5658,0.6557
331.0046,1.283,0.6618
331.9753,1.4018,0.6647
333.7386,1.0964,0.6652
331.2633,2.1945,0.6743
332.194,1.1959,0.6756
330.2687,2.1932,0.6761
334.7357,1.4289,0.6801
334.0602,1.0622,0.6838
331.9482,1.0405,0.6856
330.5077,2.1855,0.6872
331.1795,0.9762,0.6915
333.6565,2.18,0.6953
332.6369,1.9079,0.6958
331.4491,1.9103,0.6891
330.629,1.3829,0.6807
330.3248,1.4549,0.6952
333.1144,1.0673,0.6915
331.4341,1.7696,0.7091
330.7968,1.8605,0.7033
334.7129,1.2977,0.699
332.0578,1.145,0.7083
334.3541,1.6359,0.7096
332.9044,1.7244,0.7146
333.4557,2.2317,0.7178
330.816,1.8333,0.7223
335.1173,1.5698,0.7238
333.6026,1.3291,0.7252
332.9448,1.8532,0.7299
332.1431,1.7867,0.736
332.5097,1.179,0.7316
334.4038,1.1564,0.73
334.8041,1.6351,0.7452
335.1018,1.0094,0.7379
330.7971,1.0717,0.7338
330.3501,1.5709,0.7453
333.9839,2.2204,0.7342
330.7381,2.1972,0.7366
331.669,1.0092,0.7376
331.4193,1.7209,0.7441
333.9822,2.0179,0.751
332.135,0.9587,0.7575
330.8373,1.6977,0.7637
331.8457,1.6767,0.7643
331.3086,1.0211,0.7559
